epoch,total_loss,pde_loss,bc_loss,data_loss,val_loss,val_u,val_T,val_v,stage
1,23.294400098164243,7.784484737530242,13.012516473604675,2.361117192126258,2.710610653801432,1.5303330634953751,0.8523143953221696,0.32796319498388715,Adam
50,0.33043284974200493,0.11708963017212579,0.18775618857388496,0.05821441565998824,0.06265563237031403,0.020780021404390555,0.01973395691317669,0.022141654052746786,Adam
100,0.21140443829120242,0.05459271962790081,0.10529748942393428,0.041576394717980976,0.05781413011297912,0.014265764790689252,0.027554482625764452,0.015993882696525418,Adam
150,0.1826494570092861,0.034107864357959705,0.12880027862683216,0.03841873611364015,0.05784372370195135,0.013063836910188692,0.028922689497524714,0.015857197294237943,Adam
200,0.15895891268487786,0.026705847398086006,0.0868934326969283,0.040289311859254134,0.063577956826908,0.013095657443783389,0.034667469193770666,0.015814830189353944,Adam
250,0.15021494211895844,0.025067303367269707,0.08912553494772331,0.04052511295047564,0.06904279948925021,0.012903366935870754,0.039744992546068066,0.01639444000731139,Adam
300,0.1463714023784298,0.01979792537654803,0.10337820495863034,0.03550130393366634,0.06415066668868238,0.011843946323474831,0.03768454425015796,0.014622176115049592,Adam
350,0.12286545354600621,0.019859686552438863,0.07681978074605407,0.03784406866829311,0.07483868023983128,0.011793180757803636,0.04785173427075805,0.015193765211269597,Adam
400,0.10947950890527448,0.01769736376257958,0.0761071526571641,0.03610647775312341,0.08313919070280631,0.011234464043705423,0.05677570381708222,0.015129022842018674,Adam
450,0.126190805892597,0.01587581258559239,0.06951283455195627,0.032558067975726426,0.08076757817424843,0.010988005669166108,0.05451910851852027,0.015260463986562037,Adam
500,0.10859011200407505,0.016998165547827862,0.06704864520637227,0.03196174099389762,0.08012775133229698,0.010820423693355733,0.05384051788755591,0.015466809751385336,Adam
550,0.11488206490427827,0.015022042233833214,0.07331755522625498,0.032088407638424396,0.08723536857284345,0.010636732616756031,0.0615902208920641,0.015008415064023306,Adam
600,0.11325355096405944,0.020428649860367843,0.05836577012833824,0.029165711103952247,0.09014130064183569,0.010380926303277636,0.06589142480376108,0.013868949534796976,Adam
650,0.10391549043176979,0.012953709666408329,0.06437888183387194,0.03019894821484287,0.0903522305854792,0.010338979406192057,0.06547267448503813,0.014540576694249015,Adam
700,0.0997344609023821,0.019507287651084716,0.05942571270348192,0.030117411966830137,0.09666361137350651,0.010352648888594716,0.07159033882897271,0.014720623655939088,Adam
750,0.10566175858804773,0.01774209875529309,0.06378725791849547,0.029136420722134793,0.10070511923860005,0.010089954880583158,0.07651633901736153,0.014098825340655355,Adam
800,0.10436005896185861,0.013570264566117894,0.06282762028534863,0.028456767977981228,0.09126545117517115,0.010222356142515047,0.0664390136961065,0.014604081336549616,Adam
850,0.09373442640397231,0.014381060241199974,0.0699415694662473,0.02508953137543223,0.09223816667853382,0.010227145878729069,0.0683368122332812,0.013674208566523561,Adam
900,0.10749145078022251,0.014908702238438497,0.05125170318622236,0.026712910648763067,0.10362241059339578,0.010111445312731655,0.08005983413184048,0.013451131148823636,Adam
950,0.09436131209916404,0.011980348550736281,0.05896109355281391,0.027426310383010175,0.10404955613304222,0.01024771230643264,0.07973095462567774,0.014070889200931847,Adam
1000,0.09130415112607865,0.011874545331402125,0.04295889482910387,0.030026345695576606,0.11356230189010152,0.010224071401085694,0.08928469566729262,0.014053534821723213,Adam
1050,0.09054338799938164,0.017347360596293153,0.05453807621561614,0.02692934137148447,0.10747358978922604,0.010137899488057583,0.08362925697465429,0.013706433326514163,Adam
1100,0.08573576906621089,0.012731189555839436,0.05832594472200026,0.025974314235969652,0.11138316045914597,0.009908416109898892,0.08760639023125374,0.013868354117993328,Adam
1150,0.08564306169156194,0.017219996483272187,0.048581347521213035,0.025139109368688253,0.10437134972801859,0.009939351118576283,0.0807568772424216,0.0136751213670207,Adam
1200,0.08587860976238909,0.01283266045155069,0.049022185303183245,0.02543408394675493,0.10939526580987301,0.009841411907376633,0.08610058326226615,0.013453270640230228,Adam
1250,0.08479035646253602,0.01872731810249947,0.04379639403704788,0.026601810443103793,0.11549240139294324,0.009714405394264812,0.09312334566309137,0.012654650335587067,Adam
1300,0.08254249716619931,0.014734793389027981,0.036822823022392676,0.024470432868493784,0.1083314478162336,0.009921231266217653,0.08477861636717308,0.013631600182842868,Adam
1350,0.09511566170697841,0.014623584009927117,0.04427798830729103,0.02409924677348151,0.10979663029437904,0.009836259372686638,0.0865983970596668,0.0133619738620256,Adam
1400,0.08611232611738993,0.019540280786668904,0.045051382988074956,0.0246239833711331,0.1165367488937896,0.009913892484603419,0.09381021112427072,0.012812645284915453,Adam
1450,0.08820919181928437,0.014097257077187052,0.04183772027219099,0.02355011762886187,0.09688484049522661,0.009979694384391764,0.07430900812143144,0.012596137989403405,Adam
1500,0.08305724546603813,0.01735391818122716,0.03962998243430342,0.025909718026861366,0.1234825794022443,0.009933366005495181,0.10172859607138311,0.011820617325366009,Adam
1550,0.09075537170915075,0.01817840774074113,0.04615333067927636,0.02404295758500201,0.1164004106419638,0.0102189688245785,0.09233660721947949,0.013844834597905814,Adam
1600,0.0807634968516206,0.013910186670732771,0.04253471212037032,0.024448199214713646,0.12459948630870421,0.01003993425847708,0.10320401764488693,0.011355534405340206,Adam
1650,0.08172761692042492,0.016736044242520016,0.047169273227689414,0.02579531768134387,0.11597619995582252,0.010302955762783032,0.09195579171478108,0.013717452478258415,Adam
1700,0.06390837429205695,0.012088777613845208,0.026536679841738353,0.022850767037191442,0.11057665836143218,0.010115886627189917,0.08849709463239984,0.011963677101842424,Adam
