Epoch,Loss,Val_Loss
1,4712.916497151764,2.253978208371288
2,7936.515395363295,2.6963221688388326
3,2977.091705332804,1.4739035974512709
4,2694.1166652954407,0.6055101449460959
5,3385.0348091531764,0.3776205974629458
6,2208.3844475183,0.5169628332451291
7,1304.8145860335524,0.7694397331956683
8,1129.0919897815718,0.9752962170722579
9,1475.2383190466148,1.0663177565819835
10,1640.2943967596623,1.0191677428029462
11,1359.756868739188,0.8632418640049362
12,886.7240155416682,0.6526027252399689
13,612.444345647684,0.4533946462618685
14,639.3560732024921,0.3155871669020455
15,761.6447914676842,0.25975640620306856
16,748.0811286629603,0.27078953869884426
17,581.0991960367263,0.3184763668385368
18,403.36820176911266,0.37896096550535835
19,309.55297069138464,0.44188206389459034
20,337.83436413562,0.5015815879727131
21,378.35694191648093,0.5475514366593373
22,366.5165364904501,0.5669634103638921
23,322.35414714227187,0.5511683106804949
24,271.2525362715125,0.5029685519802961
25,229.8197487824604,0.43805433772100316
26,210.45513882410867,0.3763409747413033
27,206.28601963164184,0.33378472830180606
28,181.9786656368636,0.314869617695777
29,157.40801899147291,0.31519874632287287
30,155.56725177069092,0.32739843642682376
31,142.81172971848392,0.3479141542601566
32,124.53755705930969,0.3734818834269977
33,93.1733512719839,0.402018422340439
34,73.58226487574824,0.42837646666426904
35,75.2511545430081,0.4445318264630004
36,93.37665925053534,0.4434742614962665
37,101.49521453118895,0.42491833917909366
38,89.35653415070468,0.39551207685508727
39,60.26690765173895,0.36450546167122816
40,40.850362000372805,0.34047362292513433
41,41.185319764562465,0.3271747807047608
42,60.160797160013686,0.3248096804715754
43,68.12810322063943,0.3316272944268288
44,59.1474028592955,0.34519561312626657
45,34.431348950835314,0.3632226776672194
46,20.818284674807266,0.3817575023470036
47,24.80357115659698,0.39612433017975496
48,35.22220632089907,0.40134735232479285
49,40.51075196045626,0.39600970934030477
50,33.796152140718156,0.3817532871964292
51,21.97805196756611,0.36353086557040154
52,16.190966398185044,0.34732396208863187
53,19.25536444779077,0.3373243073062252
54,24.118645118608633,0.3348262660352546
55,24.422089481017608,0.33920200255603095
56,21.531433164348964,0.3481378638957786
57,16.09794888844132,0.35925127516091504
58,13.285956544646881,0.3694350185288187
59,13.72809747716596,0.37644620426287456
60,15.600119014889069,0.37845814872606326
61,15.125150427127094,0.37547155226926665
62,14.56500823234217,0.369252119441648
63,12.34616556097184,0.3620522806827547
64,10.199736553942019,0.3566238287353664
65,10.495179957999964,0.3540587956914802
66,11.418879500136613,0.3546589746107221
67,12.00927474328116,0.35730805177845865
68,11.375941436944963,0.3610399229997334
69,9.583720437587681,0.3649111860297114
70,7.964826922978759,0.3681786740753081
71,8.749774601669179,0.3705692824737792
72,9.217303313578388,0.37188127141202054
73,9.760848986509526,0.3718427084631903
74,8.540219178880683,0.37085786531248366
75,7.092684408236696,0.36983669772775424
76,7.051754245326233,0.36903731982516813
77,7.882293473688679,0.3687144275831398
78,8.10289397790025,0.36857145780265227
79,7.565138688289355,0.3689944743122629
80,6.842390042793637,0.37050472569797827
81,6.3792117011000755,0.37276388007936767
82,6.506409261661782,0.3750807383701791
83,7.110528091764957,0.37682736012473034
84,6.872610844708876,0.37736266203583874
85,6.350153113243809,0.37655238823061654
86,5.942865961935908,0.3745707717119423
87,6.13704090568293,0.3718240474671907
88,6.133786112471385,0.368983221860558
89,6.116647115985876,0.3672733848247203
90,5.9301678782494305,0.3669262781229668
91,5.674179831778533,0.36806504137198376
92,5.493184363143013,0.3701570286592902
93,5.66861248402201,0.372424826647866
94,5.644952162068189,0.3742014157155925
95,5.427246222706997,0.3746112385650964
96,5.101033383853034,0.37355680031396865
